condition	sex	Age_min	Age_max	208	Water	205	269	291	204	606	203	320	401	324	323	430	404	405	406	415	417	418	410	421	301	312	313	303	304	315	305	317	309	306	307
	Male	9	13	1800	2.4	130	45	31	60	0.08	34	600	45	15	11	60	0.9	0.9	12	1	300	1.8	4	375	1300	700	2	8	240	1.9	1250	40	8	4.5	1.5
	Male	14	18	2400	3.3	130	60	38	80	0.11	52	900	75	15	15	75	1.2	1.3	16	1.3	400	2.4	5	550	1300	890	3	11	410	2.2	1250	55	11	4.7	1.5
	Male	19	30	2400	3.7	130	60	38	80	5.6	56	900	90	15	15	120	1.2	1.3	16	1.3	400	2.4	5	550	1000	900	4	8	400	2.3	700	55	11	4.7	1.5
0	Male	31	50	2200	3.7	130	55	38	73.33333333	5.133333333	56	900	90	15	15	120	1.2	1.3	16	1.3	400	2.4	5	550	1000	900	4	8	420	2.3	700	55	11	4.7	1.5
0	Male	51	70	2200	3.7	130	55	30	73.33333333	5.133333333	56	900	90	15	15	120	1.2	1.3	16	1.7	400	2.4	5	550	1000	900	4	8	420	2.3	700	55	11	4.7	1.3
0	Male	70	999	2000	3.7	130	50	30	66.66666667	4.666666667	56	900	90	20	15	120	1.2	1.3	16	1.7	400	2.4	5	550	1200	900	4	8	420	2.3	700	55	11	4.7	1.2
0	Female	9	13	1600	2.1	130	40	26	53.33333333	3.733333333	34	600	45	15	11	60	0.9	0.9	12	1	300	1.8	4	375	1300	700	2	8	240	1.6	1250	40	8	4.5	1.5
0	Female	14	18	1800	2.3	130	45	26	60	4.2	46	700	65	15	15	75	1	1	14	1.2	400	2.4	5	400	1300	890	3	15	360	1.6	1250	55	9	4.7	1.5
0	Female	19	30	2200	2.7	130	55	25	73.33333333	5.133333333	46	700	75	15	15	90	1.1	1.1	14	1.3	400	2.4	5	425	1000	900	3	18	310	1.8	700	55	8	4.7	1.5
0	Female	31	50	1800	2.7	130	45	25	60	4.2	46	700	75	15	15	90	1.1	1.1	14	1.3	400	2.4	5	425	1000	900	3	18	320	1.8	700	55	8	4.7	1.5
0	Female	51	70	1600	2.7	130	40	21	53.33333333	3.733333333	46	700	75	15	15	90	1.1	1.1	14	1.5	400	2.4	5	425	1200	900	3	8	320	1.8	700	55	8	4.7	1.3
0	Female	70	999	1600	2.7	130	40	21	53.33333333	3.733333333	46	700	75	20	15	90	1.1	1.1	14	1.5	400	2.4	5	425	1200	900	3	8	320	1.8	700	55	8	4.7	1.2
Pregnancy	Female	14	18	2000	3	175	50	28	66.66666667	4.666666667	71	750	80	15	15	75	1.4	1.4	18	1.9	600	2.6	6	450	1300	1000	3	27	400	2	1250	60	12	4.7	1.5
Pregnancy	Female	19	30	2200	3	175	55	28	73.33333333	5.133333333	71	770	85	15	15	90	1.4	1.4	18	1.9	600	2.6	6	450	1000	1000	3	27	350	2	700	60	11	4.7	1.5
Pregnancy	Female	31	50	2200	3	175	55	28	73.33333333	5.133333333	71	770	85	15	15	90	1.4	1.4	18	1.9	600	2.6	6	450	1000	1000	3	27	360	2	700	60	11	4.7	1.5
Lactating	Female	14	18	2200	3.8	210	55	29	73.33333333	5.133333333	71	1200	115	15	19	75	1.4	1.6	17	2	500	2.8	7	550	1300	1300	3	10	360	2.6	1250	70	13	5.1	1.5
Lactating	Female	19	30	2600	3.8	210	65	29	86.66666667	6.066666667	71	1300	120	15	19	90	1.4	1.6	17	2	500	2.8	7	550	1000	1300	3	9	310	2.6	700	70	12	5.1	1.5
Lactating	Female	31	50	2200	3.8	210	55	29	73.33333333	5.133333333	71	1300	120	15	19	90	1.4	1.6	17	2	500	2.8	7	550	1000	1300	3	9	320	2.6	700	70	12	5.1	1.5
